No,Control Short,Duration,To Do,Evidence
39,Cloud infrastructure,,"Manually verified configuration in cloud environments such as database, storage, servers, networks and load balancers.",AWS cloud dashboard screenshot
40,Endpoint protection for WFH Staff,,we have VPN. but not attached any evidence for this.,No evidence attached
41,Access Management policy,Annually,Policy in place.,
42,Access Management Least Privileges,Regular,"Process should be drafted, by default, we need to assign least privilege, any further privilege needs to get approval.",No evidence attached
43,No access to external users,,External users cannot access our network systems. (N/A),No evidence attached
44,Active Directory,,a user sign on process and AD Group policy screenshot,Active Directory Group policy screenshot
45,Creating client user accounts on cloud application,Regular,Client requests for user setup within application to determine that users are created by entity only against authorised client request.(Email proof),Client account setup request mail screenshot
46,Userid for non AD accounts,,Enquired with IT Head that systems not using Active directory have separate user id and password requirement,No evidence attached
47,IAM on cloud infra,,AWS IAM settings and groups will be verified. only production groups are expected to access the production resources.,"Screenshot of user settings in AWS console for the production group, IAM user list screenshot"
48,ssh access for cloud,,"PUTTY, ssh keypairs will be verified","Screenshot showing SSH is used for accessing cloud, ssh keypairs, putty snapshot"
49,Cloud Infra MFA,Regular,implement MFA for all the cloud users.,No evidence attached
50,Remote working policy,,,
51,Software list,,IT Department expected to maintain up-to-date list of all software users can install on systems,list of softwares maintained by it team(Excel)
52,Asset Register,Monthly,Monthly audit on assets (Report) and data from keka helpdesk tickets(excel),"Asset report screenshot, Nov month helpdesk tickets and asset report (excel)"
53,Account sharing prohibited,Regular,Account sharing is prohibited unless approved by management.(if it's there) - need approval mail,No evidence attached
54,"VPN, TLS or other transit encryption.",Regular,Employees list -> for those who have access to VPN,VPN users list
55,Password policy in AD,,"In AD GPO, password policy in place.",AD password policy screenshot
56,Domain Controller / AD,,Group policy and authentication process(combination of username and password) will be verified.,Active Directory Group Policy
57,Whitelisted IPs,Regular,Whitelisting specific ip's to reach office network(ex: WFH employees)  Required: Firewall console allowing whitelisting ip - Meraki,Meraki whitelist screenshot or document
58,No Printer Access,,Employees do not have access to printers or any other output device,
59,Classification of Data,Annually,Data classification policy in place,
60,Cloud admin access,Regular,Cloud management console will be inspected to determine that admin/root access is restricted. Any further user into admin/root privilege needs to get approval.,IAM > user groups > Admin_group users dashboard screenshot
61,VPN for cloud server,Regular,"Auditors will observe the admin login process, ensure it is MFA enabled.",Screenshot of MFA while logging into the cloud servers
62,Email from HR to IT for Joiners and Leavers,Regular,"evidence for exit process initiation, HR informing IT team on last working day to deactivate_delete the user ID, exit checklist for terminated/relieved employees","exit process initiation mail, HR set tasks to IT Team to remove access, exit checklist"
63,Privileged access is restricted,,"Evidence for IAM user dashboard screenshot to check if its restricted only to IT team, AD Admin, IT team employee list.","IT team employee list, AD domain admin page screenshot"
64,No access to non employees,,No evidence required.,No evidence attached
65,Privileged access approvals,Regular,Admin access approval from CISO - wriiten approval in the form of access request.,"Access approval mail, users with admin privileges list, privileged access review mail verification"
66,Privileged Access Reviews,Monthly/Quarterly,"Entire admin list - AD, AWS and other platforms, it has to reviewed periodically and get approval from CISO",privileged access review mail verification
67,Role based access,,"Active directory - policy groups based on department (Designing, Marketing, Developer, HR, IT, Security)","Firewall Group policies, AD Group policy, Group policy management full screenshot"
68,Role based access - cloud,,IAM - user groups based on department (Admin and developer group),"defining security groups based on departments and roles, IAM user groups dashboard screenshot"
69,Reactivation prohibited,,Mentioned in policy - No evidence required.,No evidence attached
70,Exit Formalities,Regular,"Recently exited employees list, Access revocation mail from hr to IT team, Exit checklist","Off boarded employee list,HR set tasks to IT Team to remove access, Exit Task checklist"
71,Office Entry is restricted,,Biometric is implementing while entering and exiting premises.,Entrance biometric system - photograph
72,CCTV,,Captured photograph of CCTV and monitoring system,CCTV Camera and TV for monitoring CCTV - photograph
73,Security Guard,,Presented at the entry of office premises. Attached photograph,Image of security guard at entrance
74,Visitor Register,Regular,They might check entry on random dates. Have to ensure visitor register is entered properly,Image of entrance register
75,Visitor Badges,,Visitor ID photograph,Image of visitor badge
76,Visitor Escorting,,No evidence required - need physical verification,
77,Employee picture ID cards,,Photocopy of ID card,Image of employee id card with their image
78,Physical Access Setup by HR,Regular,"New joiners list, Welcome email into hrms portal, Task/checklist to provide access(biometric)","New joiner list from keka, employee welcome email into keka, Biometric task completion"
79,Sensitive Areas Physical Access Review periodically,Daily/Weekly,attached biometric log. It has to reviewed periodically,Biometric reconcilliation pdf
80,Revocation of Physical Access,Regular,"Exited employees list, access removal screenshot(system,git,email,biometric)","Exited employees list, access removal by admin(keka task), Git access removal email request, exited employee - biometrics removal"
81,Return ID cards,Regular,Biometric ID handover task status screenshot,"Exited employees list, returning ID card completion task"
82,Physical Access Reconciliation,Quarterly,physical access review - biometric log (confirm the exited employees has no access). It has to reviewed quarterly,Biometric reconcilliation pdf
83,Sharing of badges,,Mentioned in policy - No evidence required.,
84,Media handling policy,Annually,policy in place.,
85,Media Reuse / Disposal,,,
86,Firewall installation,Regular,"Firewall config, active alerts, inbound and outbound rules, firewall console","Meraki firewall config, meraki active alert dashboard screenshot, Firewall console, Firewall inbound and outbound rules screenshot"
87,cloud firewall,,"AWS WAF console, WAF rules, Security groups attached.","Screenshot of VPC setup, AWS WAF rules screenshot, EC2 security groups screenshot"
88,Application logs,Regular,"Cloudtrial logs, Application log alert, alert mail from cloudtrial","Cloud trail event history screenshot, Application log alert, Alert mail from cloudtrail"
89,Whitelisted incoming traffic,,Inbound and outbound traffic rules - Meraki screenshot,Firewall inbound and outbound rules screenshot
90,Content-Filtering,,Firewall settings for content filtering based on category - Screenshot,Content filtering screenshot from meraki
91,Firewall admin access,,Firewall admin access to IT team -> firewall admin list attached,Firewall administrators list
92,No data outside production for DR,,no evidence required.,
93,No printer Access,,no evidence required.,
94,Active Directory,Regular,"List of AD users, List of AD User systems",No evidence attached
95,Data Encryption,Regular,"Data Encryption - KMS Screenshot, Backup encryption (Data at rest)","Data Encryption enabled in AWS cloud Screenshot, backup encryption in AWS screenshot"
96,Removable media prohibited,,"AD policy in Media restriction, USB restriction","Domain media restriction Group policy, Policy for USB restrictions"
97,SSH / SSL connection to Cloud environment,,"AWS screenshot dashboard, Evidence for using SSH to access cloud.","AWS dashboard screenshot, Screenshot showing SSH is used for accessing cloud"
98,Encryption policy,Annually,policy in place.,
99,Encrypted VPN connections,Regular,"VPN access screenshot, userlist with VPN access, VPN account creation approvals.",Screenshot of employee accessing VPN
100,SSL connections for cloud hosted applications.,,SSL certificate screenshot,AWS - SSL certificate screenshot
101,Laptop Encryption,,We have not implemented it.,
102,Backup Media Encryption,Regular,AWS backup encryption screenshot,backup encryption in AWS screenshot
103,Cloud DB encryption,Regular,DB encryption enabled screenshot,Screenshot of AWS Cloud DB encryption enabled
104,Antivirus Installed,Monthly,"Norton console, Antivirus updates, Alerts from Antivirus, Verification email (monthly audit)","Antivirus installed dashboard, antivirus security history, antivirus updates, alerts from Antivirus, Antivirus audit - report approval email,  Admin console screenshot"
105,Regular Update of AV Definitions,Regular,"Antivirus updates, systems list, antivirus configurations","Antivirus updates, systems list, antivirus installed dashboard"
106,Local admin access,Regular,"admin access approval mail, local admin user list (AD)","Domain admin lists from AD, AD local admin list, AD GPO"
107,Reporting of virus detected,Regular,Norton alert screenshot,No evidence attached
108,Configuration standards,,no evidence attached.,no evidence attached.
109,Internal Vulnerability Scans,Regular,Attached VA report and email screenshot (might need meeting minutes with management),"DAST Report, Report email, Security Review email invite"
110,Configuration Changes are approved,Regular,Configuration change requires approval from CISO,"Configuration approval - (email screenshot) March 25, 2025"
111,Alerts from firewall for suspicious activity,Regular,Firewall alert dashboard and alert email screenshot,Meraki active alert dashboard screenshot
112,IT Help desk support,Regular,"IT support ticket list, email request screenshot",IT support tickets(excel) and password reset request for email (email screenshot)
113,Incident Tracker,Regular,Keka dashboard with all incident ticket list,Keka dashboard with all incident ticket list - Screenshot
114,Incident ticket details captured,,"incident tickets, any one of the ticket with detailed page.","All incident tickets list (excel), anyone incident with full information (keka screenshot)"
115,Change Management for repeated incidents,,,No evidence attached
116,RCA for incidents,,Sample of incident reports with Root Cause Analysis on Critical/ Major incidents.,"Email screenshot for alerting sensitive security issue, Same issue reporting in keka"
117,Change management policy,Annually,Policy in place.,
118,SDLC policy,Annually,Policy in place.,
119,Change request tracker,Regular,change request list and change approval mail,"Change request list(jira), Change approval mail screenshot"
120,Development Peer review,Regular,change request reviewed by other dev - screenshot,change request reviewed by other dev - Github screenshot
121,Static code analysis,Regular,SAST report - Sonarqube,SAST complete report
122,Regression Testing,Regular,"list of releases, release notes, feature test result, regression test results.","List of releases(email screenshot), Pillar Release notes Dec doc, feature test results, regression test results"
123,Software code on GIT/SVN,,Git profile screenshot,DataTerrain Git profile screenshot
124,QA testing / UAT Testing,,"change request sample, QA/UAT Testing","Change request list(jira), Change approval mail screenshot"
125,Release plan / UAT testing,Regular,"Change request list, release notes, SDLC document","List of releases(email screenshot), Pillar Release notes Dec doc, Release UAT (Git pull request), SDLC(servicedesk screenshot)"
126,Separate environment for changes,,"Screenshot of having three different env (dev,test,prod)",Separate environments screenshot
127,Rollback plans,,No evidence attached.,
128,Communication of changes,,No evidence attached.,
129,Segregation of Roles in change management,Annually,policy in place.,No evidence attached.
130,Risk Assessment considers changes,,No evidence attached.,No evidence attached.
131,High Severity incidents require changes,,No evidence attached.,No evidence attached.
132,Emergency Changes or Emergency Access Procedures,,No evidence attached.,No evidence attached.
133,Testing data is masked,,Dummy data in test environment - screenshot,Dummy data in test environment - screenshot (anyone user profile)
134,Emergency Changes or Emergency Access Procedures,,No evidence attached.,No evidence attached.
135,BCP Plan and documentation,Annually,policy in place.,No evidence attached.
136,Vendor Selection Process,,No evidence attached.,No evidence attached.
137,"Audit reports, SOC reports for Vendors",,No evidence attached.,No evidence attached.
138,Cloud Infra processing capacity - CloudWatch,Regular,AWS cloudwatch alarm screenshot,AWS cloudwatch alarm screenshot
139,Environmental Controls,Quarterly/Halfyearly/Annually,"Have to review periodically - Fire extinguishers, CCTV, fire sprinklers, smoke detectors",photographs of CCTV cameras and fire extinguishers
140,"UPS, DG",,"Attached images of UPS, DG - need physical verification",photographs of DG and UPS
141,ISP redundancy,,Attached network diagram with two different ISP,Attached network diagram with two different ISP
142,Environmental Maintenance,Annually,UPS And Generator AMC  -> conducted periodically,"UPS_AMC, Generator AMC"
143,Backup policy,Annually,policy in place.,
144,Automated backup scripts,Regular,"automated backup list, backup configurations","Backup list snapshot, backup additional configuration screenshot"
145,Alerts for failed backup,Regular,Alerts for failed backup screenshot,Alerts for failed backup screenshot
146,No backup on external drives,,No evidence attached.,No evidence attached
147,BCP Testing,,Audit conducted annually on BCP,BCP audit report
